"No.","Radio ID","Name","Call Type","Call Alert"
"1","4000","BM Disconnect","Group Call","None"
"2","404","India","Group Call","None"
"3","40407","Kerala","Group Call","None"
"4","404004","Chennai","Private Call","None"
"5","91","Worldwide","Group Call","None"
"6","40430","New Delhi","Group Call","None"
"7","440","JAPAN","Group Call","None"
"8","40480","Bangalore","Group Call","None"
"9","9990","BM UK Parrot","Private Call","None"
"10","40430","New Delhi","Private Call","None"
"11","40438","Gujarat","Group Call","None"
"12","40459","Uttar Pradesh","Group Call","None"
